,,,,,,,,,
,,,,,,,,,
,,,Sustainability Context,,,,Term Source(s),,
,Sustainability Category,,Positive,,Negative,User-dependant,,,
Term,level 0 ,level 1,Certificate,PosLabel,NegLabel,,source1,source2,source3
fresh short shelf-live,health,,,1,,,ASSET,,
low salt,health,,,,,1,ASSET,,
low sugars,health,,,,,1,ASSET,,
medium fat,health,,,,,1,ASSET,,
medium salt,health,,,,,1,ASSET,,
medium sugars,health,,,,,1,ASSET,,
 no egg besides additives,health,,,,,1,ASSET,,
 no egg besides additives,society,equitableAccess,,1,,,ASSET,,
 no meat besides additives,health,,,,,1,ASSET,,
 no meat besides additives,society,equitableAccess,,1,,,ASSET,,
 no milk besides additives,health,,,,,1,ASSET,,
 no milk besides additives,society,equitableAccess,,1,,,ASSET,,
 no gluten besides additives,health,,,,,1,ASSET,,
 no gluten besides additives,society,equitableAccess,,1,,,ASSET,,
vegan,health,,,,,1,ASSET,Google Ads Keyword planner,
vegan,society,equitableAccess,,1,,,ASSET,Google Ads Keyword planner,
vegan company,health,,,,,1,ASSET,,
vegan company,society,equitableAccess,,1,,,ASSET,,
vegetarian company,health,,,,,1,ASSET,,
vegetarian company,society,equitableAccess,,1,,,ASSET,,
certified environmental impact,society,sustainingCommunitiesEthicalResponsibility,,1,,,ASSET,,
certified environmental impact,environment,generalEnvAspect,,1,,,ASSET,,
 doesn't test on animals,society,sustainingCommunitiesEthicalResponsibility,,1,,,ASSET,,
 has a Food Safety System Certification,society,sustainingCommunitiesEthicalResponsibility,,1,,,ASSET,,
majorly funds innovation,society,sustainingCommunitiesEthicalResponsibility,,1,,,ASSET,,
 majorly supports charity,society,sustainingCommunitiesEthicalResponsibility,,1,,,ASSET,,
 member of respected labor rights protection organization,society,sustainingCommunitiesEthicalResponsibility,,1,,,ASSET,,
no-discrimination in workplace,society,sustainingCommunitiesEthicalResponsibility,,1,,,ASSET,,
 proactive supply chain investigation,society,sustainingCommunitiesEthicalResponsibility,,1,,,ASSET,,
 steps towards no-discrimination in workplace,society,sustainingCommunitiesEthicalResponsibility,,1,,,ASSET,,
 Supports a Charity,society,sustainingCommunitiesEthicalResponsibility,,1,,,ASSET,,
 transparent company,society,sustainingCommunitiesEthicalResponsibility,,1,,,ASSET,,
 transparent company,environment,generalEnvAspect,,1,,,ASSET,,
 very transparent company,society,sustainingCommunitiesEthicalResponsibility,,1,,,ASSET,,
 very transparent company,environment,generalEnvAspect,,1,,,ASSET,,
Aluminiumdose,environment,generalEnvAspect,,1,,,ASSET,,
company has an environmental report,environment,generalEnvAspect,,1,,,ASSET,,
glass packaging,environment,generalEnvAspect,,1,,,ASSET,,
 majorly reduces food waste,environment,generalEnvAspect,,1,,,ASSET,,
green farming solutions,environment,generalEnvAspect,,1,,,ASSET,,
 has no packaging,environment,generalEnvAspect,,1,,,ASSET,,
packaging sold by weight,environment,generalEnvAspect,,1,,,ASSET,,
 packaging in tetrapack cardboard,environment,generalEnvAspect,,1,,,ASSET,,
natural packaging,environment,generalEnvAspect,,1,,,ASSET,,
partly natural packaging,environment,generalEnvAspect,,1,,,ASSET,,
partially comprises Sustainable Development Goals (SDGs),environment,generalEnvAspect,,1,,,ASSET,,
 recycling code,environment,generalEnvAspect,,1,,,ASSET,,
 reduces food waste,environment,generalEnvAspect,,1,,,ASSET,,
 reduces water use,environment,generalEnvAspect,,1,,,ASSET,,
some close production plants,environment,generalEnvAspect,,1,,,ASSET,,
strongly comprises Sustainable Development Goals (SDGs),environment,generalEnvAspect,,1,,,ASSET,,
 sustainable soy,environment,generalEnvAspect,,1,,,ASSET,,
 uses only sustainable palm oil that doesn't cause deforestation,environment,generalEnvAspect,,1,,,ASSET,,
 uses only sustainable palm oil that doesn't cause deforestation,environment,animalWelfare,,1,,,ASSET,,
 uses some sustainable palm oil that doesn't cause deforestation,environment,generalEnvAspect,,1,,,ASSET,,
 uses some sustainable palm oil that doesn't cause deforestation,environment,animalWelfare,,1,,,ASSET,,
without colors,health,,,1,,,ASSET,,
without flavours,health,,,1,,,ASSET,,
without preservatives,health,,,1,,,ASSET,,
without thickeners,health,,,1,,,ASSET,,
allergen free,health,,,,,1,ASSET,,
